team_id,period,minute,player_on,player_off,reason
63f5h8t5e9qm1fqmvfkb23ghh,2,58,Jon Gorrotxategi,Beñat Turrientes,Tactical
63f5h8t5e9qm1fqmvfkb23ghh,2,58,Álvaro Odriozola,Brais Méndez,Tactical
agh9ifb2mw3ivjusgedj7c3fe,2,62,R. Lewandowski,Ferran Torres,Tactical
agh9ifb2mw3ivjusgedj7c3fe,2,62,João Cancelo,Alejandro Balde,Tactical
agh9ifb2mw3ivjusgedj7c3fe,2,63,M. Rashford,Dani Olmo,Tactical
63f5h8t5e9qm1fqmvfkb23ghh,2,69,Aihen Muñoz,Sergio Gómez,Tactical
63f5h8t5e9qm1fqmvfkb23ghh,2,69,Ander Barrenetxea,T. Kubo,Injury
63f5h8t5e9qm1fqmvfkb23ghh,2,82,D. Ćaleta-Car,J. Aramburu,Tactical
agh9ifb2mw3ivjusgedj7c3fe,2,85,Gerard Martín,Pau Cubarsí,Tactical
agh9ifb2mw3ivjusgedj7c3fe,2,85,R. Bardghji,J. Koundé,Tactical
